epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8083,0.98688,2.43542,0.88548,0.98292,0.98628,0.98101,0.79333,0.81782,0.49753,0.84028,0.000414497,0.000414497,0.000414497
2,166.246,0.86635,0.5894,0.86677,0.98631,0.98786,0.98192,0.79358,0.86596,0.51722,0.82798,0.000822935,0.000822935,0.000822935
3,248.337,0.86297,0.52917,0.86111,0.98548,0.9879,0.98062,0.79322,0.84854,0.48939,0.83431,0.00122312,0.00122312,0.00122312
4,330.414,0.84097,0.48076,0.86154,0.98735,0.98853,0.97963,0.80528,0.77396,0.46116,0.82001,0.00121287,0.00121287,0.00121287
5,413.005,0.82372,0.45845,0.85887,0.98619,0.98851,0.98121,0.81294,0.7873,0.44835,0.82092,0.0012005,0.0012005,0.0012005
6,494.97,0.81032,0.44689,0.8511,0.98967,0.98853,0.98633,0.81937,0.78882,0.43493,0.81699,0.00118812,0.00118812,0.00118812
7,576.581,0.80061,0.43506,0.85004,0.98674,0.98853,0.98501,0.81759,0.7678,0.44188,0.8181,0.00117575,0.00117575,0.00117575
8,658.409,0.80274,0.42273,0.84524,0.98915,0.98853,0.9841,0.82697,0.75126,0.40662,0.81346,0.00116337,0.00116337,0.00116337
9,740.446,0.78132,0.4056,0.84336,0.98969,0.98853,0.98674,0.81276,0.78971,0.41767,0.82126,0.001151,0.001151,0.001151
10,823.562,0.78613,0.42548,0.85027,0.98753,0.98853,0.98572,0.82073,0.75222,0.42616,0.81247,0.00113863,0.00113863,0.00113863
11,907.676,0.76086,0.39869,0.84156,0.99001,0.98853,0.98785,0.82079,0.7869,0.41766,0.81395,0.00112625,0.00112625,0.00112625
12,991.748,0.75432,0.39806,0.83908,0.98937,0.98853,0.98821,0.8206,0.75301,0.41428,0.81468,0.00111388,0.00111388,0.00111388
13,1075.73,0.75337,0.39337,0.84145,0.98864,0.98794,0.99144,0.83949,0.72769,0.38438,0.80818,0.0011015,0.0011015,0.0011015
14,1158.79,0.73947,0.38693,0.83781,0.98837,0.98853,0.98639,0.82951,0.70999,0.40586,0.81051,0.00108913,0.00108913,0.00108913
15,1241.43,0.74269,0.38438,0.83732,0.98963,0.98853,0.98899,0.83568,0.72653,0.37408,0.80654,0.00107675,0.00107675,0.00107675
16,1323.48,0.73709,0.37414,0.83582,0.98761,0.9867,0.98981,0.8261,0.74572,0.39963,0.8129,0.00106437,0.00106437,0.00106437
17,1405.35,0.73112,0.37998,0.83491,0.9896,0.98853,0.98983,0.83646,0.72583,0.39189,0.80714,0.001052,0.001052,0.001052
18,1487.49,0.73974,0.37496,0.83386,0.98923,0.98708,0.991,0.83968,0.75001,0.39979,0.80979,0.00103962,0.00103962,0.00103962
19,1569.79,0.70876,0.36355,0.82915,0.98867,0.98853,0.98806,0.83554,0.72503,0.3874,0.80554,0.00102725,0.00102725,0.00102725
20,1651.74,0.71024,0.35804,0.8273,0.98679,0.98786,0.98953,0.83973,0.73645,0.40162,0.80716,0.00101488,0.00101488,0.00101488
21,1733.45,0.71714,0.36996,0.8292,0.99003,0.98853,0.98818,0.84379,0.72092,0.36452,0.8069,0.0010025,0.0010025,0.0010025
